Theta Initialization,Theta0,Theta1,Train RSS,Test RSS,Train R2,Test R2
first,18238.88364910882,10564.828122761077,47142839.713722244,38293548.72543798,0.9372862862751652,0.9376655024570958
second,18239.034564044392,10564.804760605206,47142326.344883054,38293086.698630445,0.9372869692053114,0.9376662545474571
third,18258.4295043362,10561.80235652611,47076444.78099327,38233774.06216112,0.9373746108824488,0.9377628040581533
