Dataset,Accuracy,Precision_0,Precision_1,Precision_2,Recall_0,Recall_1,Recall_2
Train,0.8476190476190476,1.0,0.7142857142857143,1.0,1.0,1.0,0.4074074074074074
Test,0.9333333333333333,1.0,0.7777777777777778,1.0,1.0,1.0,0.875
