Fold,Class,Train Acc,Test Acc,Train Prec,Train Rec,Test Prec,Test Rec
1,0,0.7817589576547231,0.7402597402597403,0.8232445520581114,0.8478802992518704,0.8105263157894737,0.7777777777777778
1,1,0.7817589576547231,0.7402597402597403,0.6965174129353234,0.6572769953051644,0.6271186440677966,0.6727272727272727
2,0,0.7768729641693811,0.7857142857142857,0.80622009569378,0.8575063613231552,0.8490566037735849,0.8411214953271028
2,1,0.7768729641693811,0.7857142857142857,0.7142857142857143,0.6334841628959276,0.6458333333333334,0.6595744680851063
3,0,0.7801302931596091,0.7337662337662337,0.8238095238095238,0.8501228501228502,0.7549019607843137,0.8279569892473119
3,1,0.7801302931596091,0.7337662337662337,0.6855670103092784,0.642512077294686,0.6923076923076923,0.5901639344262295
4,0,0.7772357723577236,0.7712418300653595,0.8111380145278451,0.850253807106599,0.8141592920353983,0.8679245283018868
4,1,0.7772357723577236,0.7712418300653595,0.7079207920792079,0.6470588235294118,0.65,0.5531914893617021
5,0,0.7821138211382114,0.7450980392156863,0.8430379746835444,0.8222222222222222,0.8043478260869565,0.7789473684210526
5,1,0.7821138211382114,0.7450980392156863,0.6727272727272727,0.7047619047619048,0.6557377049180327,0.6896551724137931
